,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,League_N,Division_W,NewLeague_N
-Ted Simmons,127.0,32.0,4.0,14.0,25.0,12.0,19.0,8396.0,2402.0,242.0,1048.0,1348.0,819.0,167.0,18.0,6.0,True,True,True
-Willie McGee,497.0,127.0,7.0,65.0,48.0,37.0,5.0,2703.0,806.0,32.0,379.0,311.0,138.0,325.0,9.0,3.0,True,False,True
-Oddibe McDowell,572.0,152.0,18.0,105.0,49.0,65.0,2.0,978.0,249.0,36.0,168.0,91.0,101.0,325.0,13.0,3.0,False,True,False
-Eddie Milner,424.0,110.0,15.0,70.0,47.0,36.0,7.0,2130.0,544.0,38.0,335.0,174.0,258.0,292.0,6.0,3.0,True,True,True
-Mike Davis,489.0,131.0,19.0,77.0,55.0,34.0,7.0,2051.0,549.0,62.0,300.0,263.0,153.0,310.0,9.0,9.0,False,True,False
-Steve Sax,633.0,210.0,6.0,91.0,56.0,59.0,6.0,3070.0,872.0,19.0,420.0,230.0,274.0,367.0,432.0,16.0,True,True,True
-Sid Bream,522.0,140.0,16.0,73.0,77.0,60.0,4.0,730.0,185.0,22.0,93.0,106.0,86.0,1320.0,166.0,17.0,True,False,True
-Ray Knight,486.0,145.0,11.0,51.0,76.0,40.0,11.0,3967.0,1102.0,67.0,410.0,497.0,284.0,88.0,204.0,16.0,True,False,False
-Andre Dawson,496.0,141.0,20.0,65.0,78.0,37.0,11.0,5628.0,1575.0,225.0,828.0,838.0,354.0,200.0,11.0,3.0,True,False,True
-Ruben Sierra,382.0,101.0,16.0,50.0,55.0,22.0,1.0,382.0,101.0,16.0,50.0,55.0,22.0,200.0,7.0,6.0,False,True,False
-Argenis Salazar,298.0,73.0,0.0,24.0,24.0,7.0,3.0,509.0,108.0,0.0,41.0,37.0,12.0,121.0,283.0,9.0,False,True,False
-Shawon Dunston,581.0,145.0,17.0,66.0,68.0,21.0,2.0,831.0,210.0,21.0,106.0,86.0,40.0,320.0,465.0,32.0,True,False,True
-Ron Oester,523.0,135.0,8.0,52.0,44.0,52.0,9.0,3368.0,895.0,39.0,377.0,284.0,296.0,367.0,475.0,19.0,True,True,True
-Ed Romero,233.0,49.0,2.0,41.0,23.0,18.0,8.0,1350.0,336.0,7.0,166.0,122.0,106.0,102.0,132.0,10.0,False,False,False
-Jim Dwyer,160.0,39.0,8.0,18.0,31.0,22.0,14.0,2128.0,543.0,56.0,304.0,268.0,298.0,33.0,3.0,0.0,False,False,False
-Dan Pasqua,280.0,82.0,16.0,44.0,45.0,47.0,2.0,428.0,113.0,25.0,61.0,70.0,63.0,148.0,4.0,2.0,False,False,False
-Larry Herndon,283.0,70.0,8.0,33.0,37.0,27.0,12.0,4479.0,1222.0,94.0,557.0,483.0,307.0,156.0,2.0,2.0,False,False,False
-Marty Barrett,625.0,179.0,4.0,94.0,60.0,65.0,5.0,1696.0,476.0,12.0,216.0,163.0,166.0,303.0,450.0,14.0,False,False,False
-Chris Speier,155.0,44.0,6.0,21.0,23.0,15.0,16.0,6631.0,1634.0,98.0,698.0,661.0,777.0,53.0,88.0,3.0,True,False,True
-Eric Davis,415.0,115.0,27.0,97.0,71.0,68.0,3.0,711.0,184.0,45.0,156.0,119.0,99.0,274.0,2.0,7.0,True,True,True
-Gary Pettis,539.0,139.0,5.0,93.0,58.0,69.0,5.0,1469.0,369.0,12.0,247.0,126.0,198.0,462.0,9.0,7.0,False,True,False
-Randy Bush,357.0,96.0,7.0,50.0,45.0,39.0,5.0,1394.0,344.0,43.0,178.0,192.0,136.0,167.0,2.0,4.0,False,True,False
-George Hendrick,283.0,77.0,14.0,45.0,47.0,26.0,16.0,6840.0,1910.0,259.0,915.0,1067.0,546.0,144.0,6.0,5.0,False,True,False
-Kevin Mitchell,328.0,91.0,12.0,51.0,43.0,33.0,2.0,342.0,94.0,12.0,51.0,44.0,33.0,145.0,59.0,8.0,True,False,True
-Phil Bradley,526.0,163.0,12.0,88.0,50.0,77.0,4.0,1556.0,470.0,38.0,245.0,167.0,174.0,250.0,11.0,1.0,False,True,False
-Alex Trevino,202.0,53.0,4.0,31.0,26.0,27.0,9.0,1876.0,467.0,15.0,192.0,186.0,161.0,304.0,45.0,11.0,True,True,True
-Mike Diaz,209.0,56.0,12.0,22.0,36.0,19.0,2.0,216.0,58.0,12.0,24.0,37.0,19.0,201.0,6.0,3.0,True,False,True
-Bill Schroeder,217.0,46.0,7.0,32.0,19.0,9.0,4.0,694.0,160.0,32.0,86.0,76.0,32.0,307.0,25.0,1.0,False,False,False
-Kal Daniels,181.0,58.0,6.0,34.0,23.0,22.0,1.0,181.0,58.0,6.0,34.0,23.0,22.0,88.0,0.0,3.0,True,True,True
-Mike Heath,288.0,65.0,8.0,30.0,36.0,27.0,9.0,2815.0,698.0,55.0,315.0,325.0,189.0,259.0,30.0,10.0,True,False,False
-Gary Carter,490.0,125.0,24.0,81.0,105.0,62.0,13.0,6063.0,1646.0,271.0,847.0,999.0,680.0,869.0,62.0,8.0,True,False,True
-Rey Quinones,312.0,68.0,2.0,32.0,22.0,24.0,1.0,312.0,68.0,2.0,32.0,22.0,24.0,86.0,150.0,15.0,False,False,False
-Mel Hall,442.0,131.0,18.0,68.0,77.0,33.0,6.0,1416.0,398.0,47.0,210.0,203.0,136.0,233.0,7.0,7.0,False,False,False
-Lance Parrish,327.0,84.0,22.0,53.0,62.0,38.0,10.0,4273.0,1123.0,212.0,577.0,700.0,334.0,483.0,48.0,6.0,False,False,True
-Howard Johnson,220.0,54.0,10.0,30.0,39.0,31.0,5.0,1185.0,299.0,40.0,145.0,154.0,128.0,50.0,136.0,20.0,True,False,True
-Jeff Reed,165.0,39.0,2.0,13.0,9.0,16.0,3.0,196.0,44.0,2.0,18.0,10.0,18.0,332.0,19.0,2.0,False,True,True
-Bo Diaz,474.0,129.0,10.0,50.0,56.0,40.0,10.0,2331.0,604.0,61.0,246.0,327.0,166.0,732.0,83.0,13.0,True,True,True
-Jim Rice,618.0,200.0,20.0,98.0,110.0,62.0,13.0,7127.0,2163.0,351.0,1104.0,1289.0,564.0,330.0,16.0,8.0,False,False,False
-Alan Trammell,574.0,159.0,21.0,107.0,75.0,59.0,10.0,4631.0,1300.0,90.0,702.0,504.0,488.0,238.0,445.0,22.0,False,False,False
-Steve Jeltz,439.0,96.0,0.0,44.0,36.0,65.0,4.0,711.0,148.0,1.0,68.0,56.0,99.0,229.0,406.0,22.0,True,False,True
-Herm Winningham,185.0,40.0,4.0,23.0,11.0,18.0,3.0,524.0,125.0,7.0,58.0,37.0,47.0,97.0,2.0,2.0,True,False,True
-Len Matuszek,199.0,52.0,9.0,26.0,28.0,21.0,6.0,805.0,191.0,30.0,113.0,119.0,87.0,235.0,22.0,5.0,True,True,True
-Ron Kittle,376.0,82.0,21.0,42.0,60.0,35.0,5.0,1770.0,408.0,115.0,238.0,299.0,157.0,0.0,0.0,0.0,False,True,False
-Kevin Bass,591.0,184.0,20.0,83.0,79.0,38.0,5.0,1689.0,462.0,40.0,219.0,195.0,82.0,303.0,12.0,5.0,True,True,True
-Jose Cruz,479.0,133.0,10.0,48.0,72.0,55.0,17.0,7472.0,2147.0,153.0,980.0,1032.0,854.0,237.0,5.0,4.0,True,True,True
-Tim Wallach,480.0,112.0,18.0,50.0,71.0,44.0,7.0,3031.0,771.0,110.0,338.0,406.0,239.0,94.0,270.0,16.0,True,False,True
-Dave Parker,637.0,174.0,31.0,89.0,116.0,56.0,14.0,6727.0,2024.0,247.0,978.0,1093.0,495.0,278.0,9.0,9.0,True,True,True
-Buddy Biancalana,190.0,46.0,2.0,24.0,8.0,15.0,5.0,479.0,102.0,5.0,65.0,23.0,39.0,102.0,177.0,16.0,False,True,False
-Candy Maldonado,405.0,102.0,18.0,49.0,85.0,20.0,6.0,950.0,231.0,29.0,99.0,138.0,64.0,161.0,10.0,3.0,True,True,True
-Rob Wilfong,288.0,63.0,3.0,25.0,33.0,16.0,10.0,2682.0,667.0,38.0,315.0,259.0,204.0,135.0,257.0,7.0,False,True,False
-Joe Carter,663.0,200.0,29.0,108.0,121.0,32.0,4.0,1447.0,404.0,57.0,210.0,222.0,68.0,241.0,8.0,6.0,False,False,False
-Glenn Braggs,215.0,51.0,4.0,19.0,18.0,11.0,1.0,215.0,51.0,4.0,19.0,18.0,11.0,116.0,5.0,12.0,False,False,False
-Dave Concepcion,311.0,81.0,3.0,42.0,30.0,26.0,17.0,8247.0,2198.0,100.0,950.0,909.0,690.0,153.0,223.0,10.0,True,True,True
-Billy Hatcher,419.0,108.0,6.0,55.0,36.0,22.0,3.0,591.0,149.0,8.0,80.0,46.0,31.0,226.0,7.0,4.0,True,True,True
-Eddie Murray,495.0,151.0,17.0,61.0,84.0,78.0,10.0,5624.0,1679.0,275.0,884.0,1015.0,709.0,1045.0,88.0,13.0,False,False,False
-Craig Reynolds,313.0,78.0,6.0,32.0,41.0,12.0,12.0,3742.0,968.0,35.0,409.0,321.0,170.0,106.0,206.0,7.0,True,True,True
-Bill Doran,550.0,152.0,6.0,92.0,37.0,81.0,5.0,2308.0,633.0,32.0,349.0,182.0,308.0,262.0,329.0,16.0,True,True,True
-Rob Deer,466.0,108.0,33.0,75.0,86.0,72.0,3.0,652.0,142.0,44.0,102.0,109.0,102.0,286.0,8.0,8.0,False,False,False
-Andres Galarraga,321.0,87.0,10.0,39.0,42.0,30.0,2.0,396.0,101.0,12.0,48.0,46.0,33.0,805.0,40.0,4.0,True,False,True
-Steve Garvey,557.0,142.0,21.0,58.0,81.0,23.0,18.0,8759.0,2583.0,271.0,1138.0,1299.0,478.0,1160.0,53.0,7.0,True,True,True
-Don Baylor,585.0,139.0,31.0,93.0,94.0,62.0,17.0,7546.0,1982.0,315.0,1141.0,1179.0,727.0,0.0,0.0,0.0,False,False,False
-Leon Durham,484.0,127.0,20.0,66.0,65.0,67.0,7.0,3006.0,844.0,116.0,436.0,458.0,377.0,1231.0,80.0,7.0,True,False,True
-Ron Hassey,341.0,110.0,9.0,45.0,49.0,46.0,9.0,2331.0,658.0,50.0,249.0,322.0,274.0,251.0,9.0,4.0,False,False,False
-Joel Skinner,315.0,73.0,5.0,23.0,37.0,16.0,4.0,450.0,108.0,6.0,38.0,46.0,28.0,227.0,15.0,3.0,False,True,False
-Vance Law,360.0,81.0,5.0,37.0,44.0,37.0,7.0,2268.0,566.0,41.0,279.0,257.0,246.0,170.0,284.0,3.0,True,False,True
-Bob Melvin,268.0,60.0,5.0,24.0,25.0,15.0,2.0,350.0,78.0,5.0,34.0,29.0,18.0,442.0,59.0,6.0,True,True,True
-Reggie Jackson,419.0,101.0,18.0,65.0,58.0,92.0,20.0,9528.0,2510.0,548.0,1509.0,1659.0,1342.0,0.0,0.0,0.0,False,True,False
-John Moses,399.0,102.0,3.0,56.0,34.0,34.0,5.0,670.0,167.0,4.0,89.0,48.0,54.0,211.0,9.0,3.0,False,True,False
-Milt Thompson,299.0,75.0,6.0,38.0,23.0,26.0,3.0,580.0,160.0,8.0,71.0,33.0,44.0,212.0,1.0,2.0,True,False,True
-Jim Gantner,497.0,136.0,7.0,58.0,38.0,26.0,11.0,3871.0,1066.0,40.0,450.0,367.0,241.0,304.0,347.0,10.0,False,False,False
-Tom Brookens,281.0,76.0,3.0,42.0,25.0,20.0,8.0,2658.0,657.0,48.0,324.0,300.0,179.0,106.0,144.0,7.0,False,False,False
-Robby Thompson,549.0,149.0,7.0,73.0,47.0,42.0,1.0,549.0,149.0,7.0,73.0,47.0,42.0,255.0,450.0,17.0,True,True,True
-Andre Thornton,401.0,92.0,17.0,49.0,66.0,65.0,13.0,5206.0,1332.0,253.0,784.0,890.0,866.0,0.0,0.0,0.0,False,False,False
-Ronn Reynolds,126.0,27.0,3.0,8.0,10.0,5.0,4.0,239.0,49.0,3.0,16.0,13.0,14.0,190.0,2.0,9.0,True,False,True
-Davey Lopes,255.0,70.0,7.0,49.0,35.0,43.0,15.0,6311.0,1661.0,154.0,1019.0,608.0,820.0,51.0,54.0,8.0,True,False,True
-John Russell,315.0,76.0,13.0,35.0,60.0,25.0,3.0,630.0,151.0,24.0,68.0,94.0,55.0,498.0,39.0,13.0,True,False,True
-Alvin Davis,479.0,130.0,18.0,66.0,72.0,76.0,3.0,1624.0,457.0,63.0,224.0,266.0,263.0,880.0,82.0,14.0,False,True,False
-Dan Gladden,351.0,97.0,4.0,55.0,29.0,39.0,4.0,1258.0,353.0,16.0,196.0,110.0,117.0,226.0,7.0,3.0,True,True,False
-Bob Dernier,324.0,73.0,4.0,32.0,18.0,22.0,7.0,1931.0,491.0,13.0,291.0,108.0,180.0,222.0,3.0,3.0,True,False,True
-Don Mattingly,677.0,238.0,31.0,117.0,113.0,53.0,5.0,2223.0,737.0,93.0,349.0,401.0,171.0,1377.0,100.0,6.0,False,False,False
-Dwayne Murphy,329.0,83.0,9.0,50.0,39.0,56.0,9.0,3828.0,948.0,145.0,575.0,528.0,635.0,276.0,6.0,2.0,False,True,False
-Andres Thomas,323.0,81.0,6.0,26.0,32.0,8.0,2.0,341.0,86.0,6.0,32.0,34.0,8.0,143.0,290.0,19.0,True,True,True
-Kirk Gibson,441.0,118.0,28.0,84.0,86.0,68.0,8.0,2723.0,750.0,126.0,433.0,420.0,309.0,190.0,2.0,2.0,False,False,False
-Ken Landreaux,283.0,74.0,4.0,34.0,29.0,22.0,10.0,3919.0,1062.0,85.0,505.0,456.0,283.0,145.0,5.0,7.0,True,True,True
-Greg Gagne,472.0,118.0,12.0,63.0,54.0,30.0,4.0,793.0,187.0,14.0,102.0,80.0,50.0,228.0,377.0,26.0,False,True,False
-Gary Ward,380.0,120.0,5.0,54.0,51.0,31.0,8.0,3118.0,900.0,92.0,444.0,419.0,240.0,237.0,8.0,1.0,False,True,False
-Steve Buechele,461.0,112.0,18.0,54.0,54.0,35.0,2.0,680.0,160.0,24.0,76.0,75.0,49.0,111.0,226.0,11.0,False,True,False
-Tony Fernandez,687.0,213.0,10.0,91.0,65.0,27.0,4.0,1518.0,448.0,15.0,196.0,137.0,89.0,294.0,445.0,13.0,False,False,False
-Von Hayes,610.0,186.0,19.0,107.0,98.0,74.0,6.0,2728.0,753.0,69.0,399.0,366.0,286.0,1182.0,96.0,13.0,True,False,True
-Roy Smalley,459.0,113.0,20.0,59.0,57.0,68.0,12.0,5348.0,1369.0,155.0,713.0,660.0,735.0,0.0,0.0,0.0,False,True,False
-Don Slaught,314.0,83.0,13.0,39.0,46.0,16.0,5.0,1457.0,405.0,28.0,156.0,159.0,76.0,533.0,40.0,4.0,False,True,False
-Daryl Boston,199.0,53.0,5.0,29.0,22.0,21.0,3.0,514.0,120.0,8.0,57.0,40.0,39.0,152.0,3.0,5.0,False,True,False
-Kevin McReynolds,560.0,161.0,26.0,89.0,96.0,66.0,4.0,1789.0,470.0,65.0,233.0,260.0,155.0,332.0,9.0,8.0,True,True,True
-Larry Sheets,338.0,92.0,18.0,42.0,60.0,21.0,3.0,682.0,185.0,36.0,88.0,112.0,50.0,0.0,0.0,0.0,False,False,False
-Larry Parrish,464.0,128.0,28.0,67.0,94.0,52.0,13.0,5829.0,1552.0,210.0,740.0,840.0,452.0,0.0,0.0,0.0,False,True,False
-Tim Flannery,368.0,103.0,3.0,48.0,28.0,54.0,8.0,1897.0,493.0,9.0,207.0,162.0,198.0,209.0,246.0,3.0,True,True,True
-Keith Hernandez,551.0,171.0,13.0,94.0,83.0,94.0,13.0,6090.0,1840.0,128.0,969.0,900.0,917.0,1199.0,149.0,5.0,True,False,True
-Rafael Santana,394.0,86.0,1.0,38.0,28.0,36.0,4.0,1089.0,267.0,3.0,94.0,71.0,76.0,203.0,369.0,16.0,True,False,True
-Ken Phelps,344.0,85.0,24.0,69.0,64.0,88.0,7.0,911.0,214.0,64.0,150.0,156.0,187.0,0.0,0.0,0.0,False,True,False
-Hal McRae,278.0,70.0,7.0,22.0,37.0,18.0,18.0,7186.0,2081.0,190.0,935.0,1088.0,643.0,0.0,0.0,0.0,False,True,False
-Bill Buckner,629.0,168.0,18.0,73.0,102.0,40.0,18.0,8424.0,2464.0,164.0,1008.0,1072.0,402.0,1067.0,157.0,14.0,False,False,False
-Marvell Wynne,288.0,76.0,7.0,34.0,37.0,15.0,4.0,1644.0,408.0,16.0,198.0,120.0,113.0,203.0,3.0,3.0,True,True,True
-Brian Downing,513.0,137.0,20.0,90.0,95.0,90.0,14.0,5201.0,1382.0,166.0,763.0,734.0,784.0,267.0,5.0,3.0,False,True,False
-Joel Youngblood,184.0,47.0,5.0,20.0,28.0,18.0,11.0,3327.0,890.0,74.0,419.0,382.0,304.0,49.0,2.0,0.0,True,True,True
-Terry Harper,265.0,68.0,8.0,26.0,30.0,29.0,7.0,1337.0,339.0,32.0,135.0,163.0,128.0,92.0,5.0,3.0,True,True,False
-Danny Tartabull,511.0,138.0,25.0,76.0,96.0,61.0,3.0,592.0,164.0,28.0,87.0,110.0,71.0,157.0,7.0,8.0,False,True,False
-Rick Manning,205.0,52.0,8.0,31.0,27.0,17.0,12.0,5134.0,1323.0,56.0,643.0,445.0,459.0,155.0,3.0,2.0,False,False,False
-Juan Samuel,591.0,157.0,16.0,90.0,78.0,26.0,4.0,2020.0,541.0,52.0,310.0,226.0,91.0,290.0,440.0,25.0,True,False,True
-Keith Moreland,586.0,159.0,12.0,72.0,79.0,53.0,9.0,3082.0,880.0,83.0,363.0,477.0,295.0,181.0,13.0,4.0,True,False,True
-Jose Uribe,453.0,101.0,3.0,46.0,43.0,61.0,3.0,948.0,218.0,6.0,96.0,72.0,91.0,249.0,444.0,16.0,True,True,True
-Rick Leach,246.0,76.0,5.0,35.0,39.0,13.0,6.0,912.0,234.0,12.0,102.0,96.0,80.0,44.0,0.0,1.0,False,False,False
-Wade Boggs,580.0,207.0,8.0,107.0,71.0,105.0,5.0,2778.0,978.0,32.0,474.0,322.0,417.0,121.0,267.0,19.0,False,False,False
-Denny Walling,382.0,119.0,13.0,54.0,58.0,36.0,12.0,2133.0,594.0,41.0,287.0,294.0,227.0,59.0,156.0,9.0,True,True,True
-Tom Foley,263.0,70.0,1.0,26.0,23.0,30.0,4.0,888.0,220.0,9.0,83.0,82.0,86.0,81.0,147.0,4.0,True,False,True
-Carlton Fisk,457.0,101.0,14.0,42.0,63.0,22.0,17.0,6521.0,1767.0,281.0,1003.0,977.0,619.0,389.0,39.0,4.0,False,True,False
